#AC.SeqVer.	EntryVer.	Ver.Date	Taxid	Description
CP002013.1	6	20140515	640511	Burkholderia sp. CCGE1002 chromosome 1
CP002014.1	6	20140515	640511	Burkholderia sp. CCGE1002 chromosome 2
CP002015.1	6	20140515	640511	Burkholderia sp. CCGE1002 chromosome 3
CP002217.1	4	20140516	640512	Burkholderia sp. CCGE1003 chromosome 1
CP002218.1	4	20140516	640512	Burkholderia sp. CCGE1003 chromosome 2
AP013058.1	2	20130715	758793	Burkholderia sp. RPE64 DNA, chromosome 1
AP013059.1	2	20130715	758793	Burkholderia sp. RPE64 DNA, chromosome 2
AP013060.1	2	20130715	758793	Burkholderia sp. RPE64 DNA, chromosome 3
AP014576.1	2	20140627	758796	Burkholderia sp. RPE67 DNA chromosome: 1
AP014577.1	2	20140627	758796	Burkholderia sp. RPE67 DNA chromosome: 2
AP014578.1	2	20140627	758796	Burkholderia sp. RPE67 DNA chromosome: 3
CP003087.1	4	20140515	1097668	Burkholderia sp. YI23 chromosome 1
CP003088.1	4	20140515	1097668	Burkholderia sp. YI23 chromosome 2
CP003089.1	4	20140515	1097668	Burkholderia sp. YI23 chromosome 3
CP000086.1	9	20140515	271848	Burkholderia thailandensis E264 chromosome I
CP000085.1	10	20140515	271848	Burkholderia thailandensis E264 chromosome II
CM000438.1	2	20081127	271848	Burkholderia thailandensis E264 chromosome 1
CM000439.1	1	20070502	271848	Burkholderia thailandensis E264 chromosome 2
CP000614.1	6	20140515	269482	Burkholderia vietnamiensis G4 chromosome 1
CP000615.1	7	20140515	269482	Burkholderia vietnamiensis G4 chromosome 2
CP000616.1	6	20140515	269482	Burkholderia vietnamiensis G4 chromosome 3
CP000270.1	8	20140515	266265	Burkholderia xenovorans LB400 chromosome 1
CP000271.1	10	20140515	266265	Burkholderia xenovorans LB400 chromosome 2
CP000272.1	7	20140515	266265	Burkholderia xenovorans LB400 chromosome 3
FP929060.1	2	20150227	245012	butyrate-producing bacterium SM4/1
FP929062.1	4	20150227	245014	butyrate-producing bacterium SS3/4
FP929061.1	2	20150227	245018	butyrate-producing bacterium SSC/2
FP929036.1	2	20150227	657324	Butyrivibrio fibrisolvens 16/4 draft
CP001810.1	5	20150118	515622	Butyrivibrio proteoclasticus B316 chromosome 1
CP001811.1	5	20150118	515622	Butyrivibrio proteoclasticus B316 chromosome 2
AE008691.1	9	20140515	273068	Caldanaerobacter subterraneus subsp. tengcongensis MB4
CP001393.1	6	20140515	521460	Caldicellulosiruptor bescii DSM 6725
CP002219.1	4	20111010	632292	Caldicellulosiruptor hydrothermalis 108
CP002326.1	6	20140515	632335	Caldicellulosiruptor kristjanssonii I77R1B
CP002330.1	3	20111010	632348	Caldicellulosiruptor kronotskyensis 2002
CP003001.1	2	20111010	632516	Caldicellulosiruptor lactoaceticus 6A
CP002164.1	3	20111010	608506	Caldicellulosiruptor obsidiansis OB47
CP002216.1	4	20111010	632518	Caldicellulosiruptor owensensis OL
CP000679.1	6	20131212	351627	Caldicellulosiruptor saccharolyticus DSM 8903
AP012337.1	1	20120329	926550	Caldilinea aerophila DSM 14535 = NBRC 104270
AP012051.1	1	20120329	511051	Caldisericum exile AZM16c01
CP002347.1	3	20111010	768670	Calditerrivibrio nitroreducens DSM 19672
CP003610.1	2	20130723	1170562	Calothrix sp. PCC 6303
CP003943.1	2	20130723	99598	Calothrix sp. PCC 7507
AP009247.1	8	20111111	412965	Candidatus Vesicomyosocius okutanii HA
CP006702.1	5	20140515	1358410	Campylobacter coli 15-537360
HG326877.1	2	20140605	1367491	Campylobacter coli 76339
CP004066.1	4	20140515	1273173	Campylobacter coli CVM N29710
CP007183.1	4	20140516	1183378	Campylobacter coli RM1875
CP007181.1	4	20140516	1183379	Campylobacter coli RM4661
CP007179.1	4	20140516	1183380	Campylobacter coli RM5611
CP000792.1	6	20140515	360104	Campylobacter concisus 13826
CP000767.1	5	20140515	360105	Campylobacter curvus 525.92
CP008808.1	1	20140930	1240980	Campylobacter fetus subsp. fetus 04/554
CP000487.1	6	20140515	360106	Campylobacter fetus subsp. fetus 82-40
CP009226.1	2	20150225	1507806	Campylobacter fetus subsp. testudinum strain pet-3
CP006833.1	4	20140613	1244528	Campylobacter fetus subsp. testudinum 03-427
CP008810.1	1	20140930	1093099	Campylobacter fetus subsp. venerealis 97/608
CP006999.1	5	20140515	1273266	Campylobacter fetus subsp. venerealis cfvi03/293
HG004426.1	2	20150307	688354	Campylobacter fetus subsp. venerealis str. 84-112
HG004427.1	2	20150307	688354	Campylobacter fetus subsp. venerealis str. 84-112 integrative conjugative element
CP000776.1	4	20140515	360107	Campylobacter hominis ATCC BAA-381
CP009043.1	2	20150227	1244531	Campylobacter iguaniorum strain 1485E
CP007770.1	1	20150108	1031564	Campylobacter insulaenigrae NCTC 12927
HG428754.1	2	20150227	1347340	Campylobacter jejuni 4031
CP000025.1	8	20140515	195099	Campylobacter jejuni RM1221
CP000768.1	5	20140515	360109	Campylobacter jejuni subsp. doylei 269.97
CP008787.1	1	20140805	32022	Campylobacter jejuni subsp. jejuni strain MTVDSCj20
CP010301.1	1	20150211	32022	Campylobacter jejuni subsp. jejuni strain 00-0949
CP010306.1	1	20150211	32022	Campylobacter jejuni subsp. jejuni strain 00-1597
CP010307.1	1	20150211	32022	Campylobacter jejuni subsp. jejuni strain 00-6200
CP010072.1	1	20150211	32022	Campylobacter jejuni subsp. jejuni strain 01-1512
CP010058.1	2	20150227	32022	Campylobacter jejuni subsp. jejuni strain YH001
CP006729.2	6	20140928	1357994	Campylobacter jejuni subsp. jejuni 00-2425
CP000538.1	5	20140515	354242	Campylobacter jejuni subsp. jejuni 81-176
CM000855.1	1	20100118	683083	Campylobacter jejuni subsp. jejuni 414 chromosome
CM000854.1	1	20100118	683082	Campylobacter jejuni subsp. jejuni 1336 chromosome
CP000814.1	4	20140515	407148	Campylobacter jejuni subsp. jejuni 81116
CP005388.1	4	20140822	478547	Campylobacter jejuni subsp. jejuni CG8421
CP006851.1	2	20150206	1408176	Campylobacter jejuni subsp. jejuni F38011
CP001876.1	5	20140515	567106	Campylobacter jejuni subsp. jejuni IA3902
CP002029.1	4	20140515	757425	Campylobacter jejuni subsp. jejuni ICDCCJ07001
CP001900.1	4	20140515	645464	Campylobacter jejuni subsp. jejuni M1
AL111168.1	8	20150206	192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819
HE978252.1	5	20150227	1211776	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148
CP006689.1	4	20140515	1385724	Campylobacter jejuni subsp. jejuni NCTC 11168-GSv
CP006685.1	3	20140515	1385720	Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5
CP006686.1	3	20140515	1385723	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1
CP006687.1	3	20140515	1385721	Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5
CP006688.1	3	20140515	1385722	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5
CP003871.2	7	20140516	1201032	Campylobacter jejuni subsp. jejuni PT14
CP005081.1	4	20140516	1295010	Campylobacter jejuni subsp. jejuni R14
CP001960.1	6	20140515	718271	Campylobacter jejuni subsp. jejuni S3
CP007776.1	1	20150108	1388750	Campylobacter lari CCUG 22395
CP007775.1	1	20150108	1388749	Campylobacter lari NCTC 11845
CP000932.1	4	20140515	306263	Campylobacter lari RM2100
CP007777.1	1	20150108	1453989	Campylobacter lari RM16701
CP007778.1	1	20150108	1453988	Campylobacter lari RM16712
CP007771.1	1	20150108	1031536	Campylobacter lari subsp. concheus LMG 11760
CP007766.1	1	20150108	1388753	Campylobacter peloridis LMG 23910
CP007769.1	1	20150108	1500960	Campylobacter sp. RM16704
CP007772.1	1	20150108	1388751	Campylobacter subantarcticus LMG 24374
CP007773.1	1	20150108	1388752	Campylobacter subantarcticus LMG 24377
CP007774.1	1	20150108	580033	Campylobacter volucris LMG 24379
CP006914.1	1	20131212	1394710	Candidate division WWE3 bacterium RAAC2_WWE3_1
CP001715.1	4	20140515	522306	Candidatus Accumulibacter phosphatis clade IIA str. UW-1
CP001102.1	4	20131212	452471	Candidatus Amoebophilus asiaticus 5a2
AP012202.1	2	20130821	1029718	Candidatus Arthromitus sp. SFB-mouse-Japan
AP012209.1	1	20110916	1041809	Candidatus Arthromitus sp. SFB-mouse-Yit
CP008713.1	2	20140801	1508644	Candidatus Arthromitus sp. SFB-mouse-NL
AP012210.1	1	20110916	1041504	Candidatus Arthromitus sp. SFB-rat-Yit
CP001842.1	6	20140217	1453429	Candidatus Atelocyanobacterium thalassa isolate ALOHA
AP010656.1	3	20090202	511995	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2
HG793133.1	5	20150402	673862	Candidatus Babela massiliensis strain BABL1
CP000238.1	4	20100308	374463	Baumannia cicadellinicola str. Hc (Homalodisca coagulata)
CP008985.1	3	20150123	186490	Candidatus Baumannia cicadellinicola strain BGSS
CP003903.1	5	20140515	1240471	Candidatus Blochmannia chromaiodes str. 640
BX248583.1	2	20150227	203907	Candidatus Blochmannia floridanus
CP000016.1	5	20140202	291272	Candidatus Blochmannia pennsylvanicus str. BPEN
CP002189.2	6	20140515	859654	Candidatus Blochmannia vafer str. BVAF
CP008936.1	1	20140904	244581	Candidatus Caedibacter acanthamoebae
CP003541.1	4	20140501	1202536	Candidatus Carsonella ruddii CE isolate Thao2000
CP003542.1	4	20140501	1202537	Candidatus Carsonella ruddii CS isolate Thao2000
CP003467.1	6	20140515	667013	Candidatus Carsonella ruddii DC
CP003543.1	5	20140516	1202538	Candidatus Carsonella ruddii HC isolate Thao2000
CP003544.1	4	20140501	1202539	Candidatus Carsonella ruddii HT isolate Thao2000
CP003545.1	4	20140501	1202540	Candidatus Carsonella ruddii PC isolate NHV
AP009180.1	4	20081214	387662	Candidatus Carsonella ruddii PV
CU466930.1	8	20150227	459349	Candidatus Cloacimonas acidaminovorans str. Evry
CP000860.1	6	20140515	477974	Candidatus Desulforudis audaxviator MP104C
CP003539.1	7	20140516	1193729	Candidatus Endolissoclinum faulkneri L2
CP006745.1	3	20150108	1401328	Candidatus Endolissoclinum faulkneri L5
LM655252.1	1	20140815	1495769	Candidatus Evansia muelleri Xc1
CP001277.1	4	20140210	572265	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)
CP007232.1	3	20140515	573658	Candidatus Hodgkinia cicadicola strain TETUND1
CP007233.1	3	20140515	573658	Candidatus Hodgkinia cicadicola strain TETUND2
CP008699.1	2	20141019	573658	Candidatus Hodgkinia cicadicola isolate TETULN
CP001226.1	5	20140515	573234	Candidatus Hodgkinia cicadicola Dsem
CP003978.1	3	20140217	1267577	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)
CP003804.1	3	20140501	1208918	Candidatus Kinetoplastibacterium crithidii TCC036E
CP003803.1	3	20140501	1208919	Candidatus Kinetoplastibacterium desouzaii TCC079E
CP003806.1	3	20140501	1208921	Candidatus Kinetoplastibacterium galatii TCC219
CP003805.1	3	20140501	1208920	Candidatus Kinetoplastibacterium oncopeltii TCC290E
CP000360.1	11	20140515	204669	Candidatus Koribacter versatilis Ellin345
CP006604.1	6	20150206	1261131	Candidatus Liberibacter americanus str. Sao Paulo
CP004005.1	6	20140515	1174529	Candidatus Liberibacter asiaticus str. gxpsy
AP014595.1	2	20140824	931202	Candidatus Liberibacter asiaticus str. Ishi-1
CP001677.5	7	20140515	537021	Candidatus Liberibacter asiaticus str. psy62
CP002371.1	6	20140516	658172	Candidatus Liberibacter solanacearum CLso-ZC1
FP565575.1	10	20150227	671143	Candidatus Methylomirabilis oxyfera
CP002130.1	6	20140515	696127	Candidatus Midichloria mitochondrii IricVA
CP002243.1	3	20140204	903503	Candidatus Moranella endobia PCIT
CP003881.1	5	20140515	1234603	Candidatus Moranella endobia PCVAL
CP007711.1	2	20141108	1318617	Candidatus Mycoplasma girerdii strain VCU_M1
CP003731.1	5	20140515	1212765	Candidatus Mycoplasma haemolamae str. Purdue
CP006059.1	4	20140501	1343077	Candidatus Nasuia deltocephalinicola str. NAS-ALF
FP929003.1	2	20150227	330214	Candidatus Nitrospira defluvii chromosome
AP012554.1	1	20131004	1235990	Candidatus Pantoea carbekii
CP010907.1	1	20150415	1235990	Candidatus Pantoea carbekii strain US
CP008941.1	1	20140904	91604	Candidatus Paracaedibacter acanthamoebae isolate PRA3
CP002511.1	5	20140515	1002672	Candidatus Pelagibacter sp. IMCC9063
CP000084.1	9	20140515	335992	Candidatus Pelagibacter ubique HTCC1062
AM422018.1	5	20150227	59748	Candidatus Phytoplasma australiense
CP002548.1	6	20140515	980422	Strawberry lethal yellows phytoplasma (CPA) str. NZSb11
CU469464.1	3	20150227	37692	Candidatus Phytoplasma mali strain AT
CP003708.1	5	20140516	1206109	Candidatus Portiera aleyrodidarum BT-B-HRs
CP003868.1	5	20140515	1206109	Candidatus Portiera aleyrodidarum BT-B-HRs
CP003835.1	7	20140510	1239881	Candidatus Portiera aleyrodidarum BT-QVLC
CP003867.1	5	20140515	1239881	Candidatus Portiera aleyrodidarum BT-QVLC
CP007563.1	1	20150125	1163752	Candidatus Portiera aleyrodidarum MED (Bemisia tabaci) strain BT-Q
CP004358.1	2	20140501	1297582	Candidatus Portiera aleyrodidarum TV
CP003468.1	6	20140515	669502	Candidatus Profftella armatura
BX908798.1	8	20150227	264201	Candidatus Protochlamydia amoebophila UWE25
CP001751.1	9	20140515	488538	Candidatus Puniceispirillum marinum IMCC1322
CP003334.1	5	20140515	1105111	Candidatus Rickettsia amblyommii str. GAT-30V
CP001085.1	5	20140515	515618	Candidatus Riesia pediculicola USDA
CP000488.1	7	20140515	413404	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
CP006915.1	1	20131212	1394711	Candidatus Saccharibacteria bacterium RAAC3_TM7_1
CP007496.1	2	20150109	1476577	Candidatus Saccharibacteria oral taxon TM7x
CP005957.1	5	20140516	1332188	Candidatus Saccharimonas aalborgensis
CP006568.1	5	20140515	2342	Candidatus Sodalis pierantonius str. SOPE
CP000473.1	8	20140515	234267	Candidatus Solibacter usitatus Ellin6076
CP007234.1	3	20140515	336810	Candidatus Sulcia muelleri strain TETUND
CP008986.1	3	20150123	336810	Candidatus Sulcia muelleri strain BGSS
CP010105.1	2	20150227	336810	Candidatus Sulcia muelleri strain ML
CP002163.1	5	20140516	706194	Candidatus Sulcia muelleri CARI
CP001981.1	4	20140515	641892	Candidatus Sulcia muelleri DMIN
CP000770.2	9	20140515	444179	Candidatus Sulcia muelleri GWSS
AP013293.1	2	20140627	1189303	Candidatus Sulcia muelleri PSPU
CP001605.1	8	20140515	595499	Candidatus Sulcia muelleri SMDSEM
CP006060.1	3	20140217	1343076	Candidatus Sulcia muelleri str. Sulcia-ALF
CP003920.1	1	20121109	1249480	Candidatus Sulfuricurvum sp. RIFRC-1
CP004885.1	5	20140515	946483	Candidatus Symbiobacter mobilis CR
CP003982.1	3	20140516	1266371	Candidatus Tremblaya phenacola PAVE
CP002244.1	3	20140204	891398	Candidatus Tremblaya princeps PCIT
CP002918.1	6	20140516	1053648	Candidatus Tremblaya princeps PCVAL
CP003263.1	4	20140516	1133592	Candidatus Uzinura diaspidicola str. ASNER
CP002161.1	8	20140516	871271	Candidatus Zinderia insecticola CARI
CP002113.1	6	20140515	860228	Capnocytophaga canimorsus Cc5
CP001632.1	4	20140102	521097	Capnocytophaga ochracea DSM 7271
CP000141.1	7	20140515	246194	Carboxydothermus hydrogenoformans Z-2901
HE983995.1	4	20150227	1231626	Cardinium endosymbiont cEper1 of Encarsia pergandiella
HE999757.2	4	20150227	1234679	Carnobacterium maltaromaticum LMA28
CP002563.1	7	20150122	208596	Carnobacterium sp. 17-4
CP006812.1	5	20150219	1266845	Carnobacterium sp. WN1359
CP001700.1	6	20140515	479433	Catenulispora acidiphila DSM 44928
CP002008.1	4	20140515	509190	Caulobacter segnis ATCC 21756
CP000927.1	5	20140515	366602	Caulobacter sp. K31
AE005673.1	15	20140515	190650	Caulobacter crescentus CB15
CP001340.1	20	20140808	565050	Caulobacter crescentus NA1000
CP009451.1	2	20150118	158822	Cedecea neteri strain SSMD04
CP009458.1	2	20141023	158822	Cedecea neteri strain M006
CP009459.1	2	20141023	158822	Cedecea neteri strain ND14a
CP009460.1	2	20141023	158822	Cedecea neteri strain ND14b
CP004393.1	2	20150131	1208324	Celeribacter indicus strain P73
CP002666.1	2	20111012	590998	Cellulomonas fimi ATCC 484
CP001964.1	5	20140515	446466	Cellulomonas flavigena DSM 20109
CP002453.1	6	20150109	688270	Cellulophaga algicola DSM 14237
CP009976.1	1	20141210	1348584	Cellulophaga baltica 18
CP009239.1	1	20140910	979	Cellulophaga lytica strain HI1
CP002534.1	5	20150118	867900	Cellulophaga lytica DSM 7489
CP002582.1	8	20140515	642492	Clostridium lentocellum DSM 5427
CP000934.1	6	20140515	498211	Cellvibrio japonicus Ueda107
CP003600.1	3	20130723	1173020	Chamaesiphon minutus PCC 6605
CP000390.1	7	20140515	266779	Chelativorans sp. BNC1
CP001699.1	4	20140102	485918	Chitinophaga pinensis DSM 2588
CP006571.1	4	20140808	1229831	Chlamydia avium 10DC88
CP009608.1	1	20141021	83560	Chlamydia muridarum strain Nigg3 clone G0.1.1
CP009609.1	1	20141021	83560	Chlamydia muridarum strain Nigg3 clone G28.38.1
CP007217.1	1	20150307	83560	Chlamydia muridarum strain Nigg3-28
CP009760.1	1	20141106	83560	Chlamydia muridarum strain Nigg3
CP006974.1	4	20140515	1434770	Chlamydia muridarum str. Nigg3 CMUT3-5 strain Nigg
AE002160.2	5	20140203	243161	Chlamydia muridarum str. Nigg
CP007276.1	3	20141002	1460373	Chlamydia muridarum str. Nigg 2 MCR
CP006975.1	4	20140515	1434773	Chlamydia muridarum str. Nigg CM972
CP004035.1	5	20140501	1234369	Chlamydia pecorum P787
CP004033.1	5	20140501	1234367	Chlamydia pecorum PV3056/3
CP004034.1	5	20140501	1234368	Chlamydia pecorum W73
CP002608.1	5	20140515	331635	Chlamydophila pecorum E58
AE002161.1	5	20140430	115711	Chlamydophila pneumoniae AR39
AE001363.1	5	20140515	115713	Chlamydophila pneumoniae CWL029
BA000008.3	6	20070523	138677	Chlamydophila pneumoniae J138
CP001713.1	6	20140515	406984	Chlamydophila pneumoniae LPCoLN
AE009440.1	6	20140515	182082	Chlamydophila pneumoniae TW-183
CP002805.1	5	20140515	1112252	Chlamydia psittaci 01DC11
HF545614.1	2	20150227	1221877	Chlamydia psittaci 01DC12
CP002806.1	5	20140515	1112254	Chlamydia psittaci 02DC15
CP002586.1	5	20140515	331636	Chlamydia psittaci 6BC, culture collection ATCC:VR-125
CP002549.1	5	20140515	331636	Chlamydia psittaci 6BC
CP002807.1	5	20140515	1112267	Chlamydia psittaci 08DC60
CP003790.1	5	20140516	1218176	Chlamydia psittaci 84/55
CP002804.1	5	20140515	1112250	Chlamydia psittaci C19/98
CP003797.1	5	20140516	1050219	Chlamydia psittaci CP3
CP003791.1	5	20140516	1218353	Chlamydia psittaci GR9
CP003795.1	5	20140516	1218357	Chlamydia psittaci M56
CP002744.1	5	20140515	500464	Chlamydia psittaci Mat116
CP003792.1	5	20140516	1218354	Chlamydia psittaci MN
CP003798.1	6	20150213	1050221	Chlamydia psittaci NJ1
FQ482149.1	3	20150227	929557	Chlamydia psittaci RD1
CP003793.1	5	20140516	1218355	Chlamydia psittaci VS225
CP003796.1	5	20140516	1218358	Chlamydia psittaci WC
CP003794.1	5	20140516	1218356	Chlamydia psittaci WS/RT/E30
FM872306.1	2	20150227	813	Chlamydia trachomatis A2497 serovar A
CP006676.1	1	20130823	813	Chlamydia trachomatis strain D/13-96
CP006671.1	1	20130823	813	Chlamydia trachomatis strain F/1-93
CP006673.1	1	20130823	813	Chlamydia trachomatis strain F/6-94
CP006680.1	1	20130823	813	Chlamydia trachomatis strain J/31-98
CP009923.1	1	20150415	813	Chlamydia trachomatis strain L2b/CS19/08
CP009925.1	1	20150415	813	Chlamydia trachomatis strain L2b/CS784/08
AM884176.1	7	20150206	471472	Chlamydia trachomatis 434/Bu
CP002401.1	5	20140515	580047	Chlamydia trachomatis A2497
CP000051.1	7	20140515	315277	Chlamydia trachomatis A/HAR-13
FM872308.1	6	20150227	580049	Chlamydia trachomatis B/Jali20/OT
FM872307.1	5	20150227	672161	Chlamydia trachomatis B/TZ1A828/OT serovar B
CP006945.1	5	20140515	1431547	Chlamydia trachomatis C/TW-3
CP002052.1	3	20131216	759363	Chlamydia trachomatis D-EC
CP002054.1	3	20131216	759364	Chlamydia trachomatis D-LC
AE001273.1	6	20140515	272561	Chlamydia trachomatis D/UW-3/CX
CP001886.1	4	20140515	707184	Chlamydia trachomatis E/150
CP001890.1	4	20140515	707183	Chlamydia trachomatis E/11023
HE601801.1	4	20150227	1071759	Chlamydia trachomatis E/SW3
CP006674.1	1	20130823	1340853	Chlamydia trachomatis F/11-96
HE601804.1	4	20150227	1071762	Chlamydia trachomatis F/SW4
HE601805.1	4	20150227	1071763	Chlamydia trachomatis F/SW5
CP001930.1	4	20140515	718219	Chlamydia trachomatis G/9301
CP001887.1	4	20140515	707185	Chlamydia trachomatis G/9768
CP001889.1	4	20140515	707187	Chlamydia trachomatis G/11074
CP001888.1	4	20140515	707186	Chlamydia trachomatis G/11222
HF562298.1	3	20150227	1260222	Chlamydia trachomatis IU824
HF562300.1	3	20150227	1260223	Chlamydia trachomatis IU888
CP002680.1	4	20140515	907272	Chlamydia trachomatis J/6276tet1
CP003965.1	7	20140515	1262673	Chlamydia trachomatis L2/434/Bu(f)
CP003963.1	8	20140515	1263406	Chlamydia trachomatis L2/434/Bu(i)
AM884177.2	7	20150206	471473	Chlamydia trachomatis L2b/UCH-1/proctitis
CP002024.1	2	20131216	887712	Chlamydia trachomatis L2c
CP002677.1	4	20140515	907269	Chlamydia trachomatis RC-F(s)/342
CP002673.1	4	20140515	907265	Chlamydia trachomatis RC-F(s)/852
CP002671.1	3	20140515	907263	Chlamydia trachomatis RC-F/69
CP002678.1	3	20140515	907270	Chlamydia trachomatis RC-J(s)/122
CP002674.1	3	20140515	907266	Chlamydia trachomatis RC-J/943
CP002675.1	3	20140515	907267	Chlamydia trachomatis RC-J/953
CP002679.1	3	20140515	907271	Chlamydia trachomatis RC-J/966
CP002681.1	3	20140515	1007871	Chlamydia trachomatis RC-J/971
CP002676.1	3	20140515	907268	Chlamydia trachomatis RC-L2(s)/3
CP002672.1	3	20140515	907264	Chlamydia trachomatis RC-L2(s)/46
CP002682.1	3	20140515	1007870	Chlamydia trachomatis RC-L2/55
FN652779.2	2	20150227	634464	Chlamydia trachomatis Sweden2
CR848038.1	8	20150206	218497	Chlamydophila abortus S26/3
AE015925.1	6	20140515	227941	Chlamydophila caviae GPIC
AP006861.1	5	20070519	264202	Chlamydophila felis Fe/C-56
CP002514.1	6	20140515	981222	Chloracidobacterium thermophilum B chromosome 1
CP002515.1	6	20140515	981222	Chloracidobacterium thermophilum B chromosome 2
CP001099.1	4	20140515	517417	Chlorobaculum parvum NCIB 8327
AE006470.1	7	20140515	194439	Chlorobium tepidum TLS
CP000108.1	8	20140515	340177	Chlorobium chlorochromatii CaD3
CP001097.1	4	20140501	290315	Chlorobium limicola DSM 245
CP001101.1	4	20140515	331678	Chlorobium phaeobacteroides BS1
CP000492.1	7	20140515	290317	Chlorobium phaeobacteroides DSM 266
CP000607.1	7	20140515	290318	Chlorobium phaeovibrioides DSM 265
CP001337.1	3	20131212	326427	Chloroflexus aggregans DSM 9485
CP000909.1	5	20140501	324602	Chloroflexus aurantiacus J-10-fl
CP001364.1	5	20140515	480224	Chloroflexus sp. Y-400-fl
CP001100.1	4	20140515	517418	Chloroherpeton thalassium ATCC 35110
AE016825.1	2	20100407	243365	Chromobacterium violaceum ATCC 12472
CP000285.1	11	20140515	290398	Chromohalobacter salexigens DSM 3043
CP003597.1	2	20130723	251229	Chroococcidiopsis thermalis PCC 7203
AP014624.1	2	20141026	878220	Chryseobacterium sp. StRB126
HF951689.1	2	20150227	1303518	Chthonomonas calidirosea T49
CP011132.1	1	20150430	1261127	Citrobacter amalonaticus Y19
CP007557.1	4	20140801	1333848	Citrobacter freundii CFNIH1
CP000822.1	7	20140515	290338	Citrobacter koseri ATCC BAA-895
FN543502.1	2	20150227	637910	Citrobacter rodentium ICC168
CP011043.1	1	20150322	33014	Clavibacter michiganensis subsp. insidiosus strain R1-1
AM711867.1	5	20150227	443906	Clavibacter michiganensis subsp. michiganensis NCPPB 382
HE614873.1	2	20150227	1097677	Clavibacter michiganensis subsp. nebraskensis NCPPB 2581
AM849034.1	11	20150206	31964	Clavibacter michiganensis subsp. sepedonicus
AE001437.1	10	20140515	272562	Clostridium acetobutylicum ATCC 824
CP002660.1	5	20150219	991791	Clostridium acetobutylicum DSM 1731
CP002118.1	6	20150108	863638	Clostridium acetobutylicum EA 2018
CP006763.1	5	20140613	1341692	Clostridium autoethanogenum DSM 10061
CP006905.1	2	20150416	1415775	Clostridium baratii str. Sullivan
CP006777.1	1	20141023	864803	Clostridium beijerinckii ATCC 35702
CP000721.1	7	20140515	290402	Clostridium beijerinckii NCIMB 8052
AP014696.1	2	20150222	1491	Clostridium botulinum DNA strain: 111
CP010521.1	2	20150326	1491	Clostridium botulinum strain NCTC 8550
CP010520.1	2	20150326	1491	Clostridium botulinum strain NCTC 8266
CP006903.1	2	20150416	1415774	Clostridium botulinum 202F
CP001581.1	7	20140515	536232	Clostridium botulinum A2 str. Kyoto
CP000962.1	7	20140515	498214	Clostridium botulinum A3 str. Loch Maree
AM412317.1	5	20150206	413999	Clostridium botulinum A str. ATCC 3502
CP000726.1	11	20140515	441770	Clostridium botulinum A str. ATCC 19397
CP000727.1	11	20140515	441771	Clostridium botulinum A str. Hall
CP000939.1	7	20140515	498213	Clostridium botulinum B1 str. Okra
FR745875.1	4	20150227	935198	Clostridium botulinum B str. Eklund 17B (NRP)
CP001056.1	10	20140515	935198	Clostridium botulinum B str. Eklund 17B (NRP)
CP001083.1	8	20140515	515621	Clostridium botulinum Ba4 str. 657
CP002410.1	4	20140515	929506	Clostridium botulinum BKT015925
CP006907.1	3	20150416	1408285	Clostridium botulinum CDC_297
CP006908.1	2	20150416	1408283	Clostridium botulinum CDC_1436
CP001078.1	12	20140515	508767	Clostridium botulinum E3 str. Alaska E43
CP002011.1	4	20140515	758678	Clostridium botulinum F str. 230613
CP000728.1	7	20140515	441772	Clostridium botulinum F str. Langeland
FR773526.1	2	20150227	941968	Clostridium botulinum H04402 065
CP002160.1	7	20140515	573061	Clostridium cellulovorans 743B
CP000673.1	5	20140515	431943	Clostridium kluyveri DSM 555
AP009049.1	1	20090126	583346	Clostridium kluyveri NBRC 12016
CP001666.1	5	20140515	748727	Clostridium ljungdahlii DSM 13528
CP000382.1	8	20140515	386415	Clostridium novyi NT
CP003261.1	4	20140515	86416	Clostridium pasteurianum BC1
CP009267.1	2	20150225	1262449	Clostridium pasteurianum DSM 525 = ATCC 6013
CP000246.1	10	20140515	195103	Clostridium perfringens ATCC 13124
CP000312.1	10	20140515	289380	Clostridium perfringens SM101
BA000016.3	6	20070519	195102	Clostridium perfringens str. 13
CP006721.1	7	20150109	1345695	Clostridium saccharobutylicum DSM 13864
CP004121.1	5	20140515	931276	Clostridium saccharoperbutylacetonicum N1-4(HMT)
CP009933.1	1	20150403	1548	Clostridium scatologenes strain ATCC 25775
CP003259.1	3	20130723	755731	Clostridium sp. BNL1100
HG917868.1	2	20150227	1216932	Clostridium sp. M2/40 replicon M2/40_rep1
HG917869.1	2	20150227	1216932	Clostridium sp. M2/40 replicon M2/40_rep2
AP012212.1	2	20110922	1042156	Clostridium sp. SY8519
